periodicity_s,duration_ms,idle_energy_pct,sleep_time_pct,energy_J,latenza_ms,fonte_latenza,avg_lat_ms,pktloss_pct,feasible
0.1,2,32.4424375944,97.654296875,0.3984252528,0.93,effective_latency,1.03,0,True
0.1,5,54.9312526083,94.654296875,0.5805877872,0.93,effective_latency,1.03,0,True
0.1,10,71.8207059051,89.654296875,0.8841920112,0.93,effective_latency,1.03,0,True
0.1,20,84.7736037827,79.904296875,1.476220248,0.93,effective_latency,1.03,0,True
0.1,30,90.3110664762,70.154296875,2.0682484848,0.93,effective_latency,1.03,0,True
0.1,50,95.3379717973,50.654296875,3.2523049584,0.93,effective_latency,1.03,0,True
0.5,2,32.4424375944,97.654296875,0.3984252528,0.93,effective_latency,1.03,0,True
0.5,5,54.9312526083,94.654296875,0.5805877872,0.93,effective_latency,1.03,0,True
0.5,10,71.8207059051,89.654296875,0.8841920112,0.93,effective_latency,1.03,0,True
0.5,20,84.7736037827,79.904296875,1.476220248,0.93,effective_latency,1.03,0,True
0.5,30,90.3110664762,70.154296875,2.0682484848,0.93,effective_latency,1.03,0,True
0.5,50,95.3379717973,50.654296875,3.2523049584,0.93,effective_latency,1.03,0,True
1.0,2,32.4424375944,97.654296875,0.3984252528,0.93,effective_latency,1.03,0,True
1.0,5,54.9312526083,94.654296875,0.5805877872,0.93,effective_latency,1.03,0,True
1.0,10,71.8207059051,89.654296875,0.8841920112,0.93,effective_latency,1.03,0,True
1.0,20,84.7736037827,79.904296875,1.476220248,0.93,effective_latency,1.03,0,True
1.0,30,90.3110664762,70.154296875,2.0682484848,0.93,effective_latency,1.03,0,True
1.0,50,95.3379717973,50.654296875,3.2523049584,0.93,effective_latency,1.03,0,True
2.0,2,32.4424375944,97.654296875,0.3984252528,0.93,effective_latency,1.03,0,True
2.0,5,54.9312526083,94.654296875,0.5805877872,0.93,effective_latency,1.03,0,True
2.0,10,71.8207059051,89.654296875,0.8841920112,0.93,effective_latency,1.03,0,True
2.0,20,84.7736037827,79.904296875,1.476220248,0.93,effective_latency,1.03,0,True
2.0,30,90.3110664762,70.154296875,2.0682484848,0.93,effective_latency,1.03,0,True
2.0,50,95.3379717973,50.654296875,3.2523049584,0.93,effective_latency,1.03,0,True
5.0,2,32.4424375944,97.654296875,0.3984252528,0.93,effective_latency,1.03,0,True
5.0,5,54.9312526083,94.654296875,0.5805877872,0.93,effective_latency,1.03,0,True
5.0,10,71.8207059051,89.654296875,0.8841920112,0.93,effective_latency,1.03,0,True
5.0,20,84.7736037827,79.904296875,1.476220248,0.93,effective_latency,1.03,0,True
5.0,30,90.3110664762,70.154296875,2.0682484848,0.93,effective_latency,1.03,0,True
5.0,50,95.3379717973,50.654296875,3.2523049584,0.93,effective_latency,1.03,0,True
